ingr,type,may,jun,jul,aug,sep,oct,nov,nov_vs7MAvr
VitaminC,Tablets,3.27905,3.455266,5.68783355,6.318091491666667,3.752868,4.025293078333333,4.880988,-0.1026242407687461
Melatonin,Tablets,1.049756,0.950778,0.44887,0.36753671599999993,0.379247,0.526621355,3.86642,-0.5142656190091432
B12,Tablets,3.069299,2.746415,3.797231,3.5451481400000002,3.531579,4.39590618,3.712651,0.24086856617551433
Zinc,Tablets,2.075447,2.364375,3.99638855,4.899988491666667,3.43441,2.7893116583333333,3.705231,-0.16075416743002224
VitaminD,Tablets,3.2912284,3.61131585,4.282261,4.394679,3.759547,3.457455,3.5964039,-0.08300360959142628
Magnesium,Tablets,3.354687,3.521218,3.3893795499999997,3.55682446,4.407691,2.234390053333333,3.287754,-0.3414968336222023
Iron,Tablets,2.427413,2.714061,3.389525,3.0885965,2.91003,4.33390215,2.860056,0.3965152130873213
B9,Tablets,2.249439,2.144687,3.731513,3.414526,2.743344,3.795457,2.634603,0.2826470899341391
Glucosamine|Chondroitine,Tablets,1.929577,2.0311966200000002,2.2113085499999996,2.1191147546666667,2.616099,2.6383225550000002,2.41756,0.156928609707911
Calcium,Tablets,2.1569294,2.3909188500000003,2.91558,2.758832,2.258119,2.05394522,2.3340639,-0.14765914652698986
Probiotic,Tablets,1.253506,1.419851,1.741504,1.778469,1.465903,2.22253766,1.876385,0.32314659457399975
MSM,Tablets,1.300886,1.4458366200000001,1.5770415500000001,1.5265205566666666,1.997883,1.84923118,1.873032,0.1187671716307086
Turmeric|Curcumin,Tablets,1.420493,1.42978062,1.84830097,1.794109,1.586504,1.7158201433333333,1.629874,0.05127924154266661
Enzymes,Tablets,1.234454,1.21564309,1.2804363900000002,1.208004,1.07639982,1.33331139,1.326381,0.07591678994195772
B7,Tablets,1.1645503000000001,0.910062,1.67322755,1.632535,1.063975,1.2114958999999998,1.175725,-0.03975504017787568
Greens,Tablets,0.9302538499999999,0.834261,1.346623,1.291572,0.940918,0.8388128791666667,1.0781883300000001,-0.19129732336985872
