Brand,may,jun,jul,aug,sep,oct,nov
Nature's Bounty,2.967023,2.80234,3.003791,3.44488809,3.317418,1.435882,4.801333
Garden of Life,2.373958,2.401908,4.145657,4.074945,2.275462,2.7613649,2.745799
Nature Made,1.879145,1.793229,2.045779,1.7315203683333333,1.799704,1.64628452,2.286998
Natrol,0.87368,0.873801,1.177865,1.1201207993333335,0.848737,1.000524,1.860681
MegaFood,1.145296,1.16183,1.938331,1.922385,1.235518,2.69330617,1.46282392
Nature's Way,0.577293,0.73467,0.811099,0.798195,0.664701,0.839688,0.986866
Doctor's Best,0.82729,0.988536,0.838363,0.945057,2.183819,0.380198,0.919837
Move Free,0.566967,0.536259,0.66031,0.593543808,1.012744,1.312306,0.868044
Rainbow Light,0.205628,0.673287,1.491353,1.499618,0.533119,0.923951,0.855612
Carlyle,0.21121915,0.122661,0.21732,0.335453,0.372227,0.3495968466666667,0.844895
Solgar,0.63572026,0.54408,0.889548,0.966731,0.834888,0.754773,0.787298
EZ Melts,0.578499,0.571981,0.74395,0.821514,0.763677,0.6741100600000001,0.749573
Jarrow Formulas,0.704577,0.71446398,0.557684,0.584173,0.778923,0.664012,0.735457
Lipo-Flavonoid,0.745096,0.408256,0.427496,0.384152,0.200052,0.290872,0.61531
Osteo Bi-Flex,0.521684,0.521284,0.639585,0.661398,0.527059,0.728608,0.566638
CITRACAL,0.500523,0.544093,0.525729,0.498913,0.503276,0.442929,0.539145
Arazo Nutrition,0.446661,0.434471,0.504176,0.471837,0.486999,0.556111,0.535302
Kirkland Signature,0.390713,0.322634,0.576663,0.5649539466666667,0.552438,0.603286,0.526363
New Vitality,0.265779,0.282457,0.296775,0.273595,0.252026,0.5171032533333334,0.49806
Standard Process Inc.,0.382296,0.360877,0.473474,0.463044,0.362247,0.36084842000000006,0.44775
Airborne,0.357577,0.2975,0.462966,0.600471,0.624069,0.308833,0.434671
Bronson,0.281909,0.276982,0.376196,0.571518,0.456652,0.368073,0.420403
Best Naturals,0.400184,0.445836,0.411522,0.401469,0.425559,0.41633701,0.40486331
Centrum,0.238426,0.378145,0.260932,0.090689,0.272672,0.208022,0.353371
